"Nombre";"alcohol (etanol) (g)";"energía, total (kJ (kcal))";"grasa, total (lipidos totales) (g)";"proteina, total (g)";"agua (humedad) (g)";"fibra, dietetica total (g)";"carbohidratos (g)";"ácido graso 22:6 n-3 (ácido docosahexaenóico) (-)";"ácidos grasos, monoinsaturados totales (g)";"ácidos grasos, poliinsaturados totales (g)";"ácidos grasos saturados totales (g)";"ácido graso 12:0 (láurico) (-)";"ácido graso 14:0 (ácido mirístico) (g)";"ácido graso 16:0 (ácido palmítico) (g)";"ácido graso 18:0 (ácido esteárico) (g)";"ácido graso 18:1 n-9 cis (ácido oléico) (g)";"colesterol (mg)";"ácido graso 18:2 (g)";"ácido graso 18:3 (g)";"ácido graso 20:4 n-6  (ácido araquidónico) (-)";"ácido graso 20:5 (ácido eicosapentaenóico) (-)";"Vitamina A equivalentes de retinol de actividades de retinos y carotenoides (ug)";"Vitamina D (ug)";"Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E (mg)";"folato, total (ug)";"equivalentes de niacina, totales (mg)";"riboflavina (mg)";"tiamina (mg)";"Vitamina B-12 (ug)";"Vitamina B-6, Total (mg)";"Vitamina C (ácido ascórbico) (mg)";"calcio (mg)";"hierro, total (mg)";"potasio (mg)";"magnesio (mg)";"sodio (mg)";"fósforo (mg)";"ioduro (ug)";"selenio, total (ug)";"zinc (cinc) (mg)"
"Aceite de algodón";"0";"3700 (888)
							";"100";"0";"0";"0";"0";"-";"17.8";"51.9";"25.9";"-";"1";"25";"3.3";"18";"0";"49.5";"0.35";"-";"-";"0";"0";"38.26";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Aceite de cacahuete";"0";"3696 (887)
							";"99.9";"0";"0.1";"0";"0";"-";"47.8";"28.5";"18.8";"-";"0.04";"11.82";"3.38";"39.97";"0";"37.75";"0.1";"-";"-";"traza";"0";"17.2";"traza";"traza";"traza";"traza";"0";"traza";"0";"0";"traza";"0";"0";"0";"0";"0";"traza";"0"
"Aceite de coco";"0";"3700 (888)
							";"100";"0";"0";"0";"0";"-";"4.96";"0.77";"84.31";"47.64";"18.29";"8.49";"3.2";"4.96";"0";"0.7";"0";"-";"-";"0";"0";"0.28";"0";"0";"0";"0";"0";"0";"0";"0";"0.4";"0";"0";"0";"0";"0";"0";"0"
"Aceite de colza";"0";"3700 (888)
							";"100";"0";"0";"0";"0";"-";"65.3";"28.01";"6.29";"-";"0.04";"4.01";"1.62";"60.62";"0";"19.24";"10";"-";"-";"0";"0";"20.95";"traza";"0";"0";"traza";"0";"traza";"0";"0";"0";"0";"0";"0";"0";"-";"0";"0"
"Aceite de germen de trigo";"0";"3696 (887)
							";"99.9";"0";"0.1";"0";"0";"-";"15.1";"61.7";"18.8";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"0";"0";"215.4";"traza";"traza";"traza";"traza";"0";"traza";"0";"0";"0";"traza";"traza";"traza";"traza";"0";"traza";"traza"
"Aceite de girasol";"0";"3696 (887)
							";"99.9";"traza";"traza";"0";"0";"-";"25.38";"63.5";"10.62";"-";"0.09";"6.34";"3.31";"28.06";"0";"57.53";"1.6";"-";"0.04";"0";"traza";"56";"0";"traza";"traza";"traza";"traza";"traza";"0";"0";"traza";"0";"0";"0";"0";"0";"0";"traza"
"Aceite de grano de uva";"0";"3696 (887)
							";"99.9";"0";"0.1";"0";"0";"-";"15.6";"67.7";"12.2";"-";"0.04";"6.58";"3.84";"19.11";"traza";"69.65";"0.23";"-";"-";"traza";"0";"32";"traza";"0";"0";"traza";"0";"traza";"0";"traza";"traza";"traza";"traza";"traza";"traza";"0";"-";"0"
"Aceite de hígado de bacalao";"0";"3696 (887)
							";"99.9";"0";"0.1";"0";"0";"-";"44.6";"30.5";"21.1";"-";"-";"-";"-";"-";"650";"-";"-";"-";"-";"20000";"210";"20";"traza";"0";"0";"traza";"0";"traza";"0";"traza";"traza";"traza";"traza";"traza";"traza";"traza";"traza";"traza"
"Aceite de lino";"0";"3700 (888)
							";"100";"0";"0";"0";"0";"-";"20.2";"66";"9.4";"-";"0";"5.16";"4.08";"19.5";"0";"15.69";"55.47";"-";"-";"0";"0";"17.5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Aceite de nuez";"0";"3692 (886)
							";"99.7908";"traza";"traza";"0";"0";"-";"17.1";"69";"9.3";"-";"0";"7.19";"2.63";"15.71";"traza";"61.84";"-";"-";"-";"traza";"0";"10.8";"traza";"traza";"traza";"traza";"0";"traza";"0";"traza";"traza";"traza";"traza";"traza";"traza";"0";"0";"0"
"Aceite de oliva";"0";"3696 (887)
							";"99.9";"0";"0.1";"0";"0";"-";"71";"11.93";"17.06";"-";"0.01";"14";"2.75";"69.16";"0";"11.28";"0.69";"-";"-";"3";"0";"12";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Aceite de oliva virgen extra";"0";"3700 (888)
							";"100";"traza";"traza";"0";"0";"0";"78.2";"7.5";"14.21";"0";"0.01";"10.4";"2.2";"78.2";"0";"6.8";"0.7";"0";"0";"34";"0";"18.34";"traza";"traza";"traza";"traza";"0";"0";"0";"traza";"traza";"traza";"traza";"traza";"traza";"0";"0";"traza"
"Aceite de oliva virgen extra, producción ecologica";"0";"3700 (888)
							";"100";"traza";"traza";"0";"0";"-";"-";"-";"-";"-";"-";"10.56";"3.04";"81.61";"0";"3.68";"0.41";"-";"-";"34";"0";"19.76";"traza";"traza";"traza";"traza";"0";"traza";"0";"traza";"traza";"traza";"traza";"traza";"traza";"0";"0";"traza"
"Aceite de palma";"0";"3700 (888)
							";"100";"0";"0";"0";"0";"-";"41.15";"10.35";"49.44";"0.16";"1.43";"43.04";"4.38";"38.41";"0";"10.02";"1.95";"-";"-";"0";"0";"21.76";"0";"0";"0";"0";"0";"0";"0";"0";"0.01";"0";"0";"0";"0";"0";"0";"0"
"Aceite de sésamo";"0";"3700 (888)
							";"100";"0";"0";"0";"0";"-";"39.7";"41.7";"14.2";"-";"0";"9.42";"6.05";"41.15";"0";"42.13";"0.44";"-";"-";"0";"0";"4.09";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Aceite de soja";"0";"3700 (888)
							";"99.99";"0";"0.01";"0";"0";"-";"27.13";"58.47";"14.4";"-";"0.07";"10.05";"3.79";"25.14";"0";"49.54";"9";"-";"-";"0";"0";"16.75";"0";"0";"traza";"traza";"0";"traza";"0";"0";"0";"0";"0";"0";"0";"traza";"traza";"traza"
"Aceituna";"0";"502 (120)
							";"12.5";"1.3";"78";"4.8";"1";"-";"8.7";"0.6";"2.6";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"48";"0";"1.48";"10.4";"0.77";"0.05";"0.03";"0";"0.03";"0.07";"64";"1.77";"432";"22";"54";"17";"5.4";"0.9";"0.51"
"Aceituna negra, con hueso";"0";"1205 (289)
							";"29.8";"2";"60.7";"3.5";"4";"-";"20.9";"3.4";"4.2";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"6.67";"0";"1.99";"11";"1";"0.1";"0.1";"0";"0.02";"0";"61";"1.5";"432";"22";"54";"24";"5";"0.9";"0.5"
"Acelga, cruda";"0";"89 (21)
							";"0.2";"2.1";"94.4";"1";"2.7";"-";"traza";"traza";"traza";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"183";"0";"0.03";"22";"0.4";"0.13";"0.07";"0";"0.1";"35";"80";"2.3";"378";"81";"170";"43";"1";"0.3";"0.2"
"Acelga, en conserva";"0";"73 (17)
							";"0.08";"1.8";"94.5";"1.3";"2.3";"-";"0.016";"0.028";"0.012";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"227";"0";"1.89";"10";"0.66";"0.09";"0.03";"0";"0.09";"18";"80";"2.3";"510";"86";"130";"33";"14";"0.8";"0.2"
"Acelgas, hervidas";"0";"121 (29)
							";"0.39";"1.9";"92.3";"0.8";"4.37";"-";"0.04";"0.07";"0.03";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"227";"traza";"0.03";"10";"0.58";"0.05";"0.05";"traza";"0.08";"13.5";"80";"2.63";"275.5";"56.8";"108.75";"38";"35";"0.79";"0.02"
"Achicoria, cruda";"0";"78 (19)
							";"0.6";"0.5";"95.2";"0.9";"2.8";"-";"traza";"0.3";"0.2";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"266.7";"0";"0.1";"14";"0.3";"0.09";"0.14";"0";"0.01";"5";"21";"0.4";"170";"6";"1";"27";"0.4";"1";"0.2"
"Agua de la red";"0";"0 (0)
							";"0";"0";"100";"0";"0";"-";"0";"0";"0";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"traza";"traza";"traza";"0";"traza";"traza";"traza";"traza";"traza"
"Agua mineral, mineralización debil";"0";"0 (0)
							";"0";"0";"100";"0";"0";"-";"0";"0";"0";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"traza";"traza";"2";"1";"0";"0";"traza";"0"
"Agua, con gas, embotellada";"0";"0 (0)
							";"traza";"0";"100";"0";"0";"-";"traza";"traza";"traza";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2.77";"0";"4.8";"0.83";"111";"0";"1";"traza";"0"
"Aguacate";"0";"570 (137)
							";"12";"1.5";"78.8";"6.3";"0.4";"-";"9.01";"1.04";"1.41";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"19";"0";"3.2";"11";"1.5";"0.12";"0.09";"0";"0.42";"17";"16";"0.7";"400";"41";"2";"28";"2";"traza";"0.3"
"Aguacate congelado";"0";"934 (224)
							";"23.5";"1.9";"67.9";"6.3";"0.4";"-";"15.5";"1.9";"1.9";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"7.8333";"0";"1.3";"30";"1.4";"0.15";"0.08";"0";"0.36";"6";"12";"0.49";"487";"30";"4.7";"43";"1";"0.4";"0.4"
"Aguardiente";"34";"986 (237)
							";"traza";"traza";"67";"0";"traza";"-";"0";"0";"0";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"traza";"traza";"traza";"traza";"traza";"traza";"traza";"traza";"traza"
"Ajo";"0";"489 (117)
							";"0.23";"3.9375";"70.4";"1.2";"24.3";"-";"0.03";"0.1";"0.05";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"traza";"0";"0.1";"4.8";"0.27";"0.02";"0.16";"0";"0.32";"14";"17.8";"1.2";"446";"24.1";"19";"134";"4.7";"0.5";"1.1"
"Ajo, en polvo";"0";"1545 (371)
							";"0.73";"16.55";"6.45";"9";"72.73";"-";"0.115";"0.178";"0.249";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"53";"0";"0.67";"47";"1.458";"0.267";"0.15";"0";"1.654";"1.2";"646";"8.68";"1193";"264";"60";"414";"2.7";"23.9";"2.99"
"Ajo, frito";"0";"424 (102)
							";"0.59";"7.7";"64.3";"1.55";"15.97";"-";"0.03";"0.3";"0.1";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"0.29";"0";"0.01";"3.25";"1.87";"0.03";"0.1";"0";"0.29";"11.48";"18.62";"1.86";"607.6";"24.5";"3.82";"166.6";"2.94";"1.96";"0.98"
"Albahaca";"0";"741 (178)
							";"3.98";"14.4";"6.4";"40.5";"20.5";"-";"0.45";"2.17";"0.24";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"264";"0";"7.48";"247";"6.95";"0.32";"0.15";"0";"2.32";"61.2";"154";"42";"3433";"422";"34";"490";"";"2.8";"5.82"
"Albaricoque";"0";"175 (42)
							";"traza";"0.8";"87.6";"2.1";"9.5";"-";"0.04";"0.02";"0.01";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"26";"0";"0.7";"5";"0.6";"0.07";"0.05";"0";"0.07";"7";"17";"0.5";"293";"12";"1";"24";"0.5";"1";"0.1"
"Albondigas en conserva";"0";"591 (142)
							";"9.72";"6.8";"71.6";"5.05";"6.8";"-";"3.91";"2.73";"2.828";"-";"-";"-";"-";"-";"90";"-";"-";"-";"-";"9.55";"0.23";"1.43";"34.08";"5";"0.13";"0.06";"24.84";"0.12";"0";"124";"6.3";"614.3";"89.4";"929.3";"243.2";"6.7";"8.2";"0.43"
"Alcachofa, cruda";"0";"95 (23)
							";"0.2";"2.9";"83.33";"9.4";"2.26";"-";"traza";"0.09";"traza";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"4";"0";"0.2";"28";"0.8";"0.04";"0.05";"0";"0.09";"6";"44";"1";"300";"27";"15";"50";"1";"0.2";"0.1"
"Alcachofas en conserva";"0";"76 (18)
							";"0.16";"2.9";"86.3";"9.4";"1.2";"-";"0.005";"0.068";"0.037";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"15";"0";"0.2";"47";"0.9";"0.04";"0.05";"0";"0.09";"6";"44";"1";"300";"27";"15";"50";"0.4";"0.2";"0.1"
"Alcaparra";"0";"108 (26)
							";"0.86";"2.36";"85.16";"1.5";"2.1";"-";"0.063";"0.304";"0.233";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"13.8";"0";"0.88";"23";"0.652";"0.139";"0.018";"0";"0.023";"4.3";"40";"1.67";"40";"33";"2964";"10";"";"1.2";"0.32"
"Alioli";"0";"3271 (785)
							";"86.89";"0.46";"8.25";"0.14";"2.84";"-";"61.74";"8.71";"12.61";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"0.0017";"0";"10.45";"0.56";"0.03";"0";"0.02";"0";"0.04";"0";"2.46";"0.14";"51.77";"7";"565.01";"15.65";"32";"0.2";"0.13"
"Almeja";"0";"200 (48)
							";"1.61";"10.7";"88.8";"0";"0";"0.206";"0.24";"0.59";"0.34";"-";"0.04";"0.2";"0.07";"0.08";"40";"0.02";"0.01";"0.025";"0.024";"90";"traza";"0.4";"16";"4.1";"0.14";"0.04";"traza";"0.14";"traza";"75";"24";"314";"51";"56";"130";"160";"24.3";"1.3"
"Almejas en conserva";"0";"337 (81)
							";"0.4";"17.43";"80.7";"0";"1.5";"-";"0.04";"0.121";"0.1";"-";"-";"-";"-";"-";"41";"-";"-";"-";"-";"89.8";"traza";"0.37";"12.8";"4.1";"0.14";"0.03";"5";"0.03";"0";"142.4";"25.6";"314";"50.8";"56";"169";"27.1";"24.3";"1.3"
"Almendra, cruda";"0";"2453 (589)
							";"45.22";"19.1333";"5.8682";"8.3475";"6.2038";"-";"27.98";"11.14";"4.32";"-";"0.03";"2.98";"1.08";"27.3";"0";"11.06";"0.05";"-";"-";"0";"0";"24";"70";"5.3";"0.78";"0.21";"0";"0.11";"traza";"248.25";"3.5875";"767.25";"258.125";"10.3625";"524.875";"2";"4";"3.6"
"Almendra, cruda, con cáscara";"0";"2454 (589)
							";"54.1";"21.22";"5.65";"13.5";"5.36";"0.02";"36.6";"12.861";"4.142";"0";"0.03";"2.98";"1.08";"27.3";"0";"11.06";"0.05";"-";"-";"20";"0";"26.15";"45";"5.5";"0.62";"0.22";"0";"0.155";"0";"252";"4.1";"835";"270";"14";"454";"2";"3.5";"3.2"
"Almendra, frita, salada";"0";"2470 (593)
							";"55.9623";"19";"3";"15";"4.5";"-";"38.5453";"10.5315";"4.4232";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"0";"0";"24";"70";"2.5";"0.75";"0.23";"0";"0.08";"0";"250";"4.2";"800";"250";"400";"470";"1";"4.4";"3.2"
"Almendra, tostada";"0";"2460 (590)
							";"52.93";"22.9";"1.55";"13.4";"6.6";"-";"33.658";"12.649";"4.047";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"1";"0";"26.264";"36";"5.917";"0.57";"0.13";"0";"0.09";"0";"240";"3.1";"790";"270";"14";"560";"2";"1.17";"3.3"
"Almidón de arroz";"0";"1458 (350)
							";"0";"0.76";"14.2";"0";"85";"-";"0";"0";"0";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"0";"0";"0";"0";"0.2";"0";"0";"0";"0";"0";"20";"0.28";"8";"20";"61";"100";"0.6";"0";"0.5"
"Almidón de maíz";"0";"1558 (374)
							";"0";"0.26";"7.5";"0.9";"91.3";"-";"traza";"traza";"traza";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"0";"0";"0";"0";"0.3";"0";"0";"0";"0";"0";"2";"0.47";"3";"3";"9";"13";"0.5";"2.8";"0.06"
"Almidón de trigo";"0";"1476 (354)
							";"0";"0.4";"13.4";"0";"86.1";"-";"0";"0";"0";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"0";"0";"0";"0";"0.2";"0";"0";"0";"0";"0";"0";"0";"16";"20";"2";"100";"0.6";"0";"0.5"
"Altramuz";"0";"1662 (399)
							";"9.74";"36.17";"10.44";"";"40.38";"-";"3.94";"2.439";"1.156";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"6.9";"0";"";"335";"2.19";"0.22";"0.64";"0";"0.357";"4.8";"176";"4.36";"1013";"198";"15";"440";"";"8.2";"4.75"
"Alubia blanca, en conserva";"0";"390 (94)
							";"0.2375";"6.7";"72.5";"4.4";"15.7";"-";"traza";"0.12";"0.07";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"traza";"0";"0.05";"60";"0.1";"0.04";"0.1";"0";"0.07";"0";"71";"2.8";"362";"39";"4";"84";"2";"16";"2.3"
"Alubia blanca, seca, cruda";"0";"1135 (272)
							";"1.3425";"22.225";"10.8";"19.7";"41.6364";"0";"0.0977";"0.6975";"0.2788";"0";"0.001";"0.285";"0.018";"0.102";"0";"0.276";"0.231";"0";"0";"1.0833";"0";"1.125";"308";"2.4";"0.165";"0.5";"0";"0.46";"1.7";"138.667";"5.19";"1718";"135.3";"13.7";"470";"1.6";"3.2";"3.655"
"Alubia negra, seca, remojada, hervida";"0";"384 (92)
							";"0.2125";"8.4";"68.9";"8.7";"13.7";"-";"traza";"0.17";"traza";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"0.6667";"0";"0.24";"74";"0.5";"0.06";"0.16";"0";"0.1";"1";"66";"2.5";"420";"47";"3";"130";"2";"16";"2.3"
"Anacardo, crudo";"0";"2403 (577)
							";"43.1";"17.5";"6.9";"1.4";"32";"-";"27.74";"8.01";"8.71";"-";"0.02";"4.42";"3.58";"25.96";"0";"8.08";"0.09";"-";"-";"10";"0";"5.8";"68";"2";"0.26";"0.63";"0";"0.16";"0";"31";"2.8";"552";"267";"14";"373";"0.01";"34";"4.8"
"Anchoas en aceite vegetal";"0";"850 (204)
							";"9.71";"28.89";"61";"0";"0";"-";"3.77";"2.562";"2.203";"-";"-";"-";"-";"-";"85";"-";"-";"-";"-";"67.4";"11.8";"3.33";"18.5";"3.8";"0.363";"0.078";"3.4";"0.203";"0";"232";"4.63";"554";"69";"3668";"262";"traza";"68.1";"2.44"
"Anguila, al horno";"0";"929 (223)
							";"14.2222";"23.7";"59.3";"0";"0";"-";"7.1";"2.1";"3.6";"-";"-";"-";"-";"-";"160";"-";"-";"-";"-";"980";"5";"5.6";"3";"4.5";"0.3";"0.18";"1";"0.08";"0";"25";"0.6";"340";"20";"65";"270";"25";"8.3";"3"
"Anguila, cruda";"0";"914 (219)
							";"15.525";"19.97";"61.9667";"0";"0";"-";"7.031";"2.5898";"3.9968";"-";"-";"-";"-";"-";"150";"-";"-";"-";"-";"1200";"4.9";"4.14";"2.9";"1.4";"0.35";"0.2";"1";"0.25";"traza";"19";"1.2";"270";"19";"89";"310";"25";"6.5";"2.5"
"Anguila, hervida";"0";"821 (197)
							";"12.7778";"20.5";"62";"0";"0";"-";"6.4";"1.8";"3.3";"-";"-";"-";"-";"-";"140";"-";"-";"-";"-";"1000";"5";"4.14";"4";"2.5";"0.34";"0.13";"1";"0.25";"0";"20";"0.8";"200";"20";"80";"230";"25";"8.3";"2.5"
"Angula, cruda";"0";"888 (213)
							";"16.5";"16.3";"67.2";"0";"0";"-";"8.9";"1.3";"2.8";"-";"-";"-";"-";"-";"50";"-";"-";"-";"-";"1000";"110";"5.6";"13";"5.5";"0.32";"0.17";"1";"0.3";"traza";"30";"1";"270";"19";"90";"170";"10";"-";"1.8"
"Anís, seco";"37.5";"1105 (265)
							";"traza";"0";"61.4";"0";"1";"-";"traza";"traza";"traza";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"3";"0";"0";"0";"traza"
"Aperitivos de trigo";"0";"2123 (509)
							";"25.9";"10.3";"0";"6.3";"58.2";"0";"11.4";"3";"11.4";"0.084";"0.303";"11.99";"1.464";"10.793";"0";"7.723";"0.54";"0.006";"0.006";"3.37";"0";"1.74";"10.29";"3.8";"0.1";"0.1";"0.24";"0.12";"0";"61.2";"15.3";"349.5";"60.3";"1234.3";"199.7";"10";"17.1";"1.9"
"Apio, crudo";"0";"45 (11)
							";"0.1";"0.9";"94.4";"2";"1.5";"-";"traza";"traza";"traza";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"95";"traza";"0.2";"18";"0.4";"0.04";"0.05";"traza";"0.1";"8";"52";"0.5";"305";"14";"110";"32";"0";"0.4";"0.1"
"Apio, en conserva en salmuera";"0";"36 (9)
							";"traza";"0.8";"94.5";"2.3";"1.3";"-";"traza";"traza";"traza";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"9.3333";"0";"0.19";"22";"0.3";"0.04";"0.04";"0";"0.07";"6";"36";"0.4";"283";"10";"343";"25";"1.1";"0.046";"0.1"
"Arandano";"0";"136 (33)
							";"0.6";"0.625";"87.8";"4.9";"6.05";"-";"traza";"traza";"traza";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"5.7";"0";"1.921";"10";"0.09";"0.02";"0.02";"0";"0.06";"22";"10";"0.74";"78";"2.4";"1";"13";"1";"0.1";"0.131"
"Arenque, ahumado";"0";"1057 (254)
							";"13.9";"23";"59";"0";"0";"1.806";"4.32";"5.67";"3.48";"0.031";"1.061";"1.725";"0.316";"1.743";"50";"0.356";"1.047";"0.088";"1.2";"13";"23.5";"1";"10";"2.5";"0.4";"0.08";"5";"0.45";"0";"60";"1.8";"520";"50";"550";"428";"0.1";"52.6";"0.5"
"Arenque, salado";"0";"1251 (300)
							";"26";"17";"57";"0";"0";"-";"7.6";"11.6";"6.4";"-";"-";"-";"-";"-";"13";"-";"-";"-";"-";"50";"40";"1.71";"8";"4";"0.22";"0.03";"3";"1.3";"2.7";"20";"1";"75";"36";"2610";"220";"18";"22";"0.5"
"Arroz";"0";"1614 (387)
							";"0.9";"7";"5.9";"0.2";"86";"-";"0.23";"0.32";"0.21";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"0";"0";"0.3";"20";"3.1";"0.03";"0.05";"0";"0.3";"0";"10";"0.5";"110";"13";"6";"100";"2";"10";"0.2"
"Arroz con leche";"0";"383 (92)
							";"1.3";"3.3";"78.9";"0.1";"16.4";"-";"0.31";"0.08";"0.77";"-";"-";"-";"-";"-";"9";"-";"-";"-";"-";"18";"0.1";"0.15";"5";"0.81";"0.13";"0.04";"0.24";"0.09";"0";"109";"0.2";"138";"14";"38";"96";"6.3";"1.9";"0.3"
"Arroz hinchado, para el desayuno, enriquecido";"0";"1620 (389)
							";"0.6";"6.3";"3";"1.4";"87.7";"-";"0.15";"0.21";"0.14";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"0";"2.8";"0.6";"250";"16.8";"1.5";"1.2";"traza";"0.94";"traza";"10";"6.5";"113";"30";"600";"110";"5";"15.4";"0.9"
"Arroz integral, crudo";"0";"1607 (386)
							";"2.6353";"7.5";"11.4";"3";"81.3";"-";"0.83";"0.89";"0.52";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"0";"0";"0.6";"40";"6.8";"0.08";"0.39";"0";"0.51";"0";"21";"1.7";"223";"143";"6";"303";"2.2";"2";"1.8"
"Arroz integral, hervido";"0";"467 (112)
							";"0.9";"2.6";"71.8";"1.8";"22.9";"-";"0.33";"0.32";"0.2";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"0";"0";"0.2";"10";"1.3";"0.02";"0.1";"0";"0.15";"0";"10";"0.48";"43";"43";"5";"83";"1.1";"9.8";"0.63"
"Arroz, hervido";"0";"1639 (393)
							";"1.66";"7.54";"4.12";"1.4";"85.28";"-";"0.15";"0.21";"0.13";"-";"-";"-";"-";"-";"traza";"-";"-";"-";"-";"traza";"traza";"0.1";"2.07";"2.98";"0.03";"0.06";"0";"0.3";"0.34";"10.19";"0.81";"130";"27.9";"4.39";"100.83";"14.63";"traza";"1.3"
"Atún en aceite de oliva isabel";"0";"750 (180)
							";"8.08";"26.53";"64.02";"0";"0";"-";"3.313";"3.72";"1.05";"-";"-";"-";"-";"-";"31";"-";"-";"-";"-";"62.2";"5";"2.3";"16.8";"11.698";"0.079";"0.017";"traza";"0.43";"2.2";"4";"0.65";"333";"34";"396";"267";"8";"60.1";"0.47"
"Atun en aceite vegetal";"0";"852 (205)
							";"12.1";"23.81";"61.4";"0";"0";"-";"3.6";"5.5";"1.8";"-";"-";"-";"-";"-";"39.8";"-";"-";"-";"-";"62.2";"24.7";"6.3";"16.8";"13.6";"0.1";"0.1";"5";"0.42";"traza";"27.7";"1.2";"";"28.2";"";"";"34.2";"";"1.1"
"Atún en escabeche";"0";"422 (101)
							";"0.6";"23.5";"75.9";"0";"0";"-";"0.1";"0.21";"0.23";"-";"-";"-";"-";"-";"51";"-";"-";"-";"-";"65";"4";"0.55";"16";"18.8";"0.11";"0.02";"4.3";"0.47";"0";"8";"1";"230";"27";"320";"170";"13";"78";"0.7"
"Atún, al horno";"0";"792 (190)
							";"7.8889";"29.4";"61";"0";"0";"-";"2";"2.8";"2.3";"-";"-";"-";"-";"-";"48";"-";"-";"-";"-";"34";"5.8";"1";"16";"10.5";"0.15";"0.2";"8";"0.53";"traza";"35";"1.2";"310";"20";"47";"200";"30";"36";"0.9"
"Atún, al natural";"0";"422 (101)
							";"0.6";"23.5";"75.9";"0";"0";"-";"0.1";"0.2";"0.2";"-";"-";"-";"-";"-";"51";"-";"-";"-";"-";"60";"4";"0.55";"7";"18.78";"0.11";"0.02";"4";"0.47";"0";"28";"1";"230";"27";"320";"170";"13";"80.4";"0.7"
"Atún, crudo";"0";"496 (119)
							";"3.3";"22";"67.3";"0";"0";"0.648";"0.65";"1.32";"0.96";"-";"-";"0.508";"0.186";"0.262";"28";"0.029";"0.007";"0.077";"0.101";"26";"7.2";"1";"15";"12.8";"0.13";"0.1";"4";"0.4";"traza";"16";"1.3";"400";"33";"47";"230";"8";"82";"0.7"
"Atún, plancha";"0";"835 (200)
							";"12";"23";"65";"0";"traza";"-";"2.39";"3.07";"2.77";"-";"-";"-";"-";"-";"55";"-";"-";"-";"-";"60";"25";"0";"15";"17.8";"0.2";"0.04";"5";"0.41";"0";"38";"1.3";"40";"28";"40";"200";"10";"46.8";"1.1"
"Avellana";"0";"2732 (656)
							";"56.25";"12.009";"5.26";"8.22";"10.5";"-";"46.4";"4.89";"4.91";"-";"0.04";"3.14";"1.57";"46.27";"0";"4.7";"0.14";"-";"-";"4.8";"0";"26.19";"71";"3.833";"0.21";"0.39";"0";"0.59";"3";"226";"3.8";"636";"156";"6";"333";"1.5";"4.5";"2.1"
