"Nombre";"alcohol (etanol) (g)";"energía, total (kJ (kcal))";"grasa, total (lipidos totales) (g)";"proteina, total (g)";"agua (humedad) (g)";"fibra, dietetica total (g)";"carbohidratos (g)";"ácido graso 22:6 n-3 (ácido docosahexaenóico) (-)";"ácidos grasos, monoinsaturados totales (g)";"ácidos grasos, poliinsaturados totales (g)";"ácidos grasos saturados totales (g)";"ácido graso 12:0 (láurico) (-)";"ácido graso 14:0 (ácido mirístico) (g)";"ácido graso 16:0 (ácido palmítico) (g)";"ácido graso 18:0 (ácido esteárico) (g)";"ácido graso 18:1 n-9 cis (ácido oléico) (g)";"colesterol (mg)";"ácido graso 18:2 (g)";"ácido graso 18:3 (g)";"ácido graso 20:4 n-6  (ácido araquidónico) (-)";"ácido graso 20:5 (ácido eicosapentaenóico) (-)";"Vitamina A equivalentes de retinol de actividades de retinos y carotenoides (ug)";"Vitamina D (ug)";"Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E (mg)";"folato, total (ug)";"equivalentes de niacina, totales (mg)";"riboflavina (mg)";"tiamina (mg)";"Vitamina B-12 (ug)";"Vitamina B-6, Total (mg)";"Vitamina C (ácido ascórbico) (mg)";"calcio (mg)";"hierro, total (mg)";"potasio (mg)";"magnesio (mg)";"sodio (mg)";"fósforo (mg)";"ioduro (ug)";"selenio, total (ug)";"zinc (cinc) (mg)"
"Néctar de albaricoque, envasado";"0";"241 (58)
							";"traza";"0.4";"84";"0.3";"13.8";"-";"traza";"traza";"traza";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"100";"0";"0.2";"2";"0.2";"0.02";"0.01";"0";"0.03";"3";"7";"0.4";"120";"5";"2";"6";"1";"1";"0.04"
"Néctar de ciruela";"0";"63 (15)
							";"traza";"0.3";"95.3";"1";"3.4";"-";"traza";"traza";"traza";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"10.24";"0";"0.29";"1.23";"traza";"0.02";"0.03";"0";"0.02";"1.26";"5.73";"0.16";"77.81";"3.28";"18";"7.78";"0";"traza";"0"
"Néctar de frutas exóticas, envasado";"0";"231 (55)
							";"traza";"0.4";"86.2";"traza";"13.2";"-";"traza";"traza";"traza";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"16.6667";"0";"0.3";"5";"0.25";"0.03";"0.04";"0";"0.01";"15";"15";"0.1";"120";"8";"3";"10";"1";"traza";"traza"
"Néctar de mango, envasado";"0";"236 (57)
							";"traza";"0.2";"85.4";"0.2";"13.7";"-";"traza";"traza";"traza";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"14.5";"0";"0.3";"5";"0.25";"0.01";"traza";"0";"0.01";"13";"2";"0.2";"21";"6";"4";"4";"0.8";"0.3";"traza"
"Néctar de maracuyá, envasado";"0";"221 (53)
							";"traza";"0.2";"85";"traza";"12.8";"-";"traza";"traza";"traza";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"33.3333";"0";"0.3";"5";"0.4";"0.03";"traza";"0";"0.01";"5";"2";"0.1";"70";"4";"2";"5";"0";"0.2";"traza"
"Néctar de melocotón";"0";"71 (17)
							";"traza";"0.2";"95.3";"0.5";"4";"-";"traza";"traza";"traza";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"43.88";"0";"0.21";"1.25";"0.42";"0.02";"0.01";"0";"0.01";"3.36";"3.34";"0.17";"108.52";"3.76";"20";"9.18";"0";"0.3";"0.03"
"Néctar de naranja, envasado";"0";"177 (42)
							";"traza";"0.3";"88.5";"0.1";"10.1";"-";"traza";"traza";"traza";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"7";"0";"0.1";"12";"0.14";"0.01";"0.04";"0";"0.02";"23";"6";"0.1";"114";"7";"1";"10";"1";"traza";"traza"
"Néctar de pera, envasado";"0";"270 (65)
							";"traza";"0.2";"82.3";"0.3";"15.7";"-";"traza";"traza";"traza";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"0.8333";"0";"0.01";"1";"0.1";"0.02";"0.01";"0";"0.01";"2";"5";"0.1";"75";"4";"3";"6";"1";"1";"traza"
"Néctar de piña";"0";"94 (22)
							";"traza";"0.2";"96.2";"0.3";"5.3";"-";"0.009";"0.028";"0.009";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"2.77";"0";"0.02";"2.34";"0.06";"0";"0.02";"0";"0.02";"4.31";"2.56";"0.11";"53.23";"13";"0.64";"2.34";"6";"0.1";"0.03"
"Néctar de pomelo";"0";"61 (15)
							";"traza";"0.2";"96.2";"0.2";"3.4";"-";"0.012";"0.021";"0.012";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"2.09";"0";"0.02";"0.99";"0.02";"0";"0";"0";"0";"3.29";"0.82";"0.03";"15.54";"8";"0.16";"1.14";"1";"0.1";"0.01"
"Nectarina";"0";"181 (43)
							";"0.1";"1.4";"87.3";"2.2";"9";"-";"traza";"traza";"traza";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"11";"0";"0.9";"traza";"0.9";"0.04";"0.02";"0";"0.03";"37";"7";"0.4";"170";"10";"1";"22";"3";"1";"0.1"
"Níscalo, crudo";"0";"59 (14)
							";"0.67";"1.89";"89.8";"6.89";"0.1";"-";"traza";"0.49";"0.14";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"216.667";"2.1";"0.13";"2";"6.5";"0.06";"0.13";"0";"0.09";"6";"6";"1.3";"310";"12.33";"6";"74";"3";"36";"0.46"
"Níspero, con piel, crudo";"0";"220 (53)
							";"0.2";"0.4";"85.6";"1.7";"12.1";"-";"traza";"0.09";"traza";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"218";"0";"0.89";"14";"0.1";"0.06";"0.2";"0";"0.1";"2";"16";"0.28";"266";"13";"1";"27";"1";"0.6";"0.05"
"Nispero, conserva en su jugo";"-";"-";"-";"-";"-";"-";"-";"-";"0.009";"0.1";"0.043";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"38.8333";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Nispero, sin piel , congelado";"0";"163 (39)
							";"0.2";"0.56";"88.6";"2.1";"8.6";"-";"0.009";"0.1";"0.043";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"218";"0";"0.89";"23";"0.35";"0.03";"0.02";"0";"0.02";"4";"19";"0.3";"263";"10";"4";"23";"1";"0.5";"0.05"
